159  159  17
32  121  4  1
32  120  12  1
32  120  11  1
32  120  4  1
32  119  12  1
32  119  11  1
32  119  10  1
32  119  9  1
32  119  8  1
32  118  12  1
32  118  11  1
32  118  10  1
32  118  9  1
32  118  8  1
32  117  12  1
32  117  11  1
32  117  10  1
32  117  9  1
32  116  12  1
32  116  11  1
33  122  5  1
33  122  4  1
33  121  5  1
33  121  4  1
33  120  12  1
33  120  11  1
33  120  10  1
33  120  9  1
33  120  8  1
33  120  7  1
33  120  5  1
33  120  4  1
33  119  12  1
33  119  11  1
33  119  10  1
33  119  9  1
33  119  8  1
33  119  7  1
33  119  6  1
33  119  5  1
33  119  4  1
33  118  12  1
33  118  11  0
33  118  10  0
33  118  9  1
33  118  8  1
33  118  7  1
33  118  6  1
33  118  5  1
33  118  4  1
33  117  12  1
33  117  11  1
33  117  10  1
33  117  9  1
33  117  8  1
33  117  7  1
33  117  6  1
33  117  5  1
33  117  4  1
33  116  12  1
33  116  11  1
33  116  10  1
33  116  9  1
33  116  8  1
33  116  7  1
33  116  6  1
33  116  5  1
33  116  4  1
33  115  12  1
33  115  11  1
33  115  10  1
33  115  9  1
33  115  8  1
33  115  7  1
33  115  6  1
33  115  5  1
33  115  4  1
33  114  12  1
33  114  11  1
33  114  10  1
33  114  9  1
34  122  6  1
34  122  5  1
34  122  4  1
34  121  12  1
34  121  11  1
34  121  10  1
34  121  9  1
34  121  6  1
34  121  5  1
34  121  4  1
34  120  12  1
34  120  11  1
34  120  10  1
34  120  9  1
34  120  8  1
34  120  7  1
34  120  6  1
34  120  5  1
34  120  4  1
34  119  12  1
34  119  11  0
34  119  10  0
34  119  9  0
34  119  8  0
34  119  7  1
34  119  6  1
34  119  5  1
34  119  4  1
34  118  12  1
34  118  11  0
34  118  10  0
34  118  9  0
34  118  8  0
34  118  7  0
34  118  6  0
34  118  5  0
34  118  4  1
34  117  12  1
34  117  11  0
34  117  10  0
34  117  9  0
34  117  8  0
34  117  7  0
34  117  6  0
34  117  5  0
34  117  4  1
34  116  12  1
34  116  11  0
34  116  10  0
34  116  9  0
34  116  8  0
34  116  7  0
34  116  6  0
34  116  5  0
34  116  4  1
34  115  12  1
34  115  11  0
34  115  10  0
34  115  9  1
34  115  8  1
34  115  7  1
34  115  6  1
34  115  5  1
34  115  4  1
34  114  12  1
34  114  11  1
34  114  10  1
34  114  9  1
34  114  8  1
34  114  7  1
34  114  6  1
34  114  5  1
34  114  4  1
34  113  12  1
34  113  11  1
34  113  10  1
34  113  9  1
34  113  8  1
34  113  7  1
34  113  6  1
34  113  5  1
34  113  4  1
34  112  12  1
34  112  11  1
34  112  10  1
34  112  9  1
34  112  8  1
35  123  7  1
35  123  6  1
35  123  5  1
35  123  4  1
35  122  12  1
35  122  11  1
35  122  7  1
35  122  6  1
35  122  5  1
35  122  4  1
35  121  12  1
35  121  11  1
35  121  10  1
35  121  9  1
35  121  8  1
35  121  7  1
35  121  6  1
35  121  5  0
35  121  4  1
35  120  12  1
35  120  11  0
35  120  10  0
35  120  9  1
35  120  8  1
35  120  7  1
35  120  6  1
35  120  5  0
35  120  4  1
35  119  12  1
35  119  11  0
35  119  10  0
35  119  9  0
35  119  8  0
35  119  7  0
35  119  6  0
35  119  5  0
35  119  4  1
35  118  12  1
35  118  11  0
35  118  10  0
35  118  9  0
35  118  8  0
35  118  7  0
35  118  6  0
35  118  5  0
35  118  4  1
35  117  12  1
35  117  11  0
35  117  10  0
35  117  9  0
35  117  8  0
35  117  7  0
35  117  6  0
35  117  5  0
35  117  4  1
35  116  12  1
35  116  11  0
35  116  10  0
35  116  9  0
35  116  8  0
35  116  7  0
35  116  6  0
35  116  5  0
35  116  4  1
35  115  12  1
35  115  11  0
35  115  10  0
35  115  9  0
35  115  8  0
35  115  7  0
35  115  6  0
35  115  5  0
35  115  4  1
35  114  12  1
35  114  11  0
35  114  10  0
35  114  9  0
35  114  8  0
35  114  7  0
