103  103  17
22  77  4  1
22  76  12  1
22  76  11  1
22  76  10  1
22  76  9  1
22  76  4  1
22  75  12  1
22  75  11  1
22  75  10  1
22  75  9  1
22  75  8  1
22  74  12  1
22  74  11  1
22  74  10  1
22  74  9  1
23  77  6  1
23  77  5  1
23  77  4  1
23  76  12  1
23  76  11  1
23  76  10  1
23  76  9  1
23  76  8  1
23  76  7  1
23  76  6  1
23  76  5  1
23  76  4  1
23  75  12  1
23  75  11  0
23  75  10  0
23  75  9  1
23  75  8  1
23  75  7  1
23  75  6  1
23  75  5  1
23  75  4  1
23  74  12  1
23  74  11  1
23  74  10  1
23  74  9  1
23  74  8  1
23  74  7  1
23  74  6  1
23  74  5  1
23  74  4  1
23  73  12  1
23  73  11  1
23  73  10  1
23  73  9  1
23  73  8  1
23  73  7  1
23  73  6  1
23  73  5  1
23  73  4  1
23  72  12  1
23  72  11  1
23  72  10  1
23  72  9  1
23  72  8  1
23  72  7  1
23  72  6  1
23  72  5  1
23  72  4  1
23  71  12  1
23  71  11  1
24  78  7  1
24  78  6  1
24  78  5  1
24  78  4  1
24  77  12  1
24  77  11  1
24  77  10  1
24  77  9  1
24  77  8  1
24  77  7  1
24  77  6  1
24  77  5  1
24  77  4  1
24  76  12  1
24  76  11  1
24  76  10  1
24  76  9  1
24  76  8  1
24  76  7  1
24  76  6  1
24  76  5  1
24  76  4  1
24  75  12  1
24  75  11  0
24  75  10  0
24  75  9  0
24  75  8  0
24  75  7  0
24  75  6  0
24  75  5  0
24  75  4  1
24  74  12  1
24  74  11  0
24  74  10  0
24  74  9  0
24  74  8  0
24  74  7  0
24  74  6  0
24  74  5  0
24  74  4  1
24  73  12  1
24  73  11  0
24  73  10  0
24  73  9  0
24  73  8  0
24  73  7  0
24  73  6  0
24  73  5  0
24  73  4  1
24  72  12  1
24  72  11  1
24  72  10  1
24  72  9  1
24  72  8  1
24  72  7  1
24  72  6  1
24  72  5  1
24  72  4  1
24  71  12  1
24  71  11  1
24  71  10  1
24  71  9  1
24  71  8  1
24  71  7  1
24  71  6  1
24  71  5  1
24  71  4  1
25  78  12  1
25  78  11  1
25  78  10  1
25  78  9  1
25  78  8  1
25  78  7  1
25  78  6  1
25  78  5  1
25  78  4  1
25  77  12  1
25  77  11  1
25  77  10  1
25  77  9  1
25  77  8  1
25  77  7  1
25  77  6  0
25  77  5  0
25  77  4  1
25  76  12  1
25  76  11  0
25  76  10  0
25  76  9  0
25  76  8  0
25  76  7  0
25  76  6  0
25  76  5  0
25  76  4  1
25  75  12  1
25  75  11  0
25  75  10  0
25  75  9  0
25  75  8  0
25  75  7  0
25  75  6  0
25  75  5  0
25  75  4  1
25  74  12  1
25  74  11  0
25  74  10  0
25  74  9  0
25  74  8  0
25  74  7  0
25  74  6  0
25  74  5  0
25  74  4  1
25  73  12  1
25  73  11  0
25  73  10  0
25  73  9  0
25  73  8  0
25  73  7  0
25  73  6  0
25  73  5  0
25  73  4  1
25  72  12  1
25  72  11  0
25  72  10  0
25  72  9  0
25  72  8  0
25  72  7  0
25  72  6  0
25  72  5  0
25  72  4  1
25  71  12  1
25  71  11  1
25  71  10  1
25  71  9  1
25  71  8  1
25  71  7  1
25  71  6  1
25  71  5  1
25  71  4  1
25  70  12  1
25  70  11  1
25  70  10  1
25  70  9  1
25  70  8  1
