100  100  17
22  74  11  1
22  74  12  1
22  73  4  1
22  73  5  1
22  73  6  1
22  73  7  1
22  73  8  1
22  73  9  1
22  73  10  1
22  73  11  1
22  73  12  1
22  72  4  1
22  72  5  1
22  72  6  1
22  72  7  1
22  72  8  1
22  72  9  1
22  72  10  1
22  72  11  1
22  72  12  1
22  71  4  1
22  71  5  1
22  71  6  1
22  71  7  1
22  71  8  1
22  71  9  1
22  71  10  1
22  71  11  1
23  75  10  1
23  75  11  1
23  75  12  1
23  74  4  1
23  74  5  1
23  74  6  1
23  74  7  1
23  74  8  1
23  74  9  1
23  74  10  1
23  74  11  1
23  74  12  1
23  73  4  1
23  73  5  1
23  73  6  1
23  73  7  1
23  73  8  1
23  73  9  1
23  73  10  1
23  73  11  1
23  73  12  1
23  72  4  1
23  72  5  0
23  72  6  0
23  72  7  0
23  72  8  0
23  72  9  0
23  72  10  0
23  72  11  1
23  72  12  1
23  71  4  1
23  71  5  1
23  71  6  1
23  71  7  1
23  71  8  1
23  71  9  1
23  71  10  1
23  71  11  1
23  71  12  1
23  70  4  1
23  70  5  1
23  70  6  1
23  70  7  1
23  70  8  1
23  70  9  1
23  70  10  1
23  70  11  1
23  70  12  1
23  69  4  1
23  69  5  1
23  69  6  1
23  69  7  1
23  69  8  1
23  69  9  1
23  69  10  1
23  69  11  1
23  69  12  1
24  75  4  1
24  75  5  1
24  75  6  1
24  75  8  1
24  75  9  1
24  75  10  1
24  75  11  1
24  75  12  1
24  74  4  1
24  74  5  1
24  74  6  1
24  74  7  1
24  74  8  1
24  74  9  1
24  74  10  1
24  74  11  0
24  74  12  1
24  73  4  1
24  73  5  0
24  73  6  0
24  73  7  0
24  73  8  0
24  73  9  1
24  73  10  1
24  73  11  0
24  73  12  1
24  72  4  1
24  72  5  0
24  72  6  0
24  72  7  0
24  72  8  0
24  72  9  0
24  72  10  0
24  72  11  0
24  72  12  1
24  71  4  1
24  71  5  0
24  71  6  0
24  71  7  0
24  71  8  0
24  71  9  0
24  71  10  0
24  71  11  0
24  71  12  1
24  70  4  1
24  70  5  0
24  70  6  0
24  70  7  0
24  70  8  0
24  70  9  0
24  70  10  0
24  70  11  0
24  70  12  1
24  69  4  1
24  69  5  1
24  69  6  1
24  69  7  1
24  69  8  1
24  69  9  1
24  69  10  1
24  69  11  1
24  69  12  1
24  68  4  1
24  68  5  1
24  68  6  1
24  68  7  1
24  68  8  1
24  68  9  1
24  68  10  1
24  68  11  1
24  68  12  1
25  76  7  1
25  76  8  1
25  76  9  1
25  76  10  1
25  76  11  1
25  76  12  1
25  75  4  1
25  75  5  1
25  75  6  1
25  75  7  1
25  75  8  1
25  75  9  1
25  75  10  1
25  75  11  1
25  75  12  1
25  74  4  1
25  74  5  0
25  74  6  1
25  74  7  1
25  74  8  1
25  74  9  1
25  74  10  0
25  74  11  0
25  74  12  1
25  73  4  1
25  73  5  0
25  73  6  0
25  73  7  0
25  73  8  0
25  73  9  0
25  73  10  0
25  73  11  0
25  73  12  1
25  72  4  1
25  72  5  0
25  72  6  0
25  72  7  0
25  72  8  0
25  72  9  0
25  72  10  0
25  72  11  0
25  72  12  1
25  71  4  1
25  71  5  0
25  71  6  0
25  71  7  0
25  71  8  0
25  71  9  0
25  71  10  0
25  71  11  0
25  71  12  1
25  70  4  1
25  70  5  0
25  70  6  0
25  70  7  0
25  70  8  0
25  70  9  0
25  70  10  0
25  70  11  0
25  70  12  1
25  69  4  1
25  69  5  0
25  69  6  0
25  69  7  0
25  69  8  0
25  69  9  0
25  69  10  0
25  69  11  0
25  69  12  1
25  68  4  1
25  68  5  1
25  68  6  1
25  68  7  1
25  68  8  1
25  68  9  1
25  68  10  1
25  68  11  1
25  68  12  1
26  76  4  1
26  76  5  1
26  76  6  1
26  76  7  1
26  76  8  1
26  76  9  1
26  76  10  1
26  76  11  1
26  76  12  1
26  75  4  1
26  75  5  1
26  75  6  1
26  75  7  1
26  75  8  0
26  75  9  0
26  75  10  0
26  75  11  0
26  75  12  1
26  74  4  1
26  74  5  0
26  74  6  0
26  74  7  0
26  74  8  0
26  74  9  0
26  74  10  0
26  74  11  0
26  74  12  1
26  73  4  1
26  73  5  0
26  73  6  0
26  73  7  0
26  73  8  0
26  73  9  0
26  73  10  0
26  73  11  0
26  73  12  1
26  72  4  1
26  72  5  0
26  72  6  0
26  72  7  0
26  72  8  0
26  72  9  0
26  72  10  0
26  72  11  0
26  72  12  1
26  71  4  1
26  71  5  0
26  71  6  0
26  71  7  0
26  71  8  0
26  71  9  0
26  71  10  0
26  71  11  0
26  71  12  1
26  70  4  1
26  70  5  0
26  70  6  0
26  70  7  0
26  70  8  0
26  70  9  0
26  70  10  0
26  70  11  0
26  70  12  1
26  69  4  1
26  69  5  0
26  69  6  0
26  69  7  0
26  69  8  0
26  69  9  0
26  69  10  0
26  69  11  0
26  69  12  1
26  68  4  1
26  68  5  1
26  68  6  1
26  68  7  1
26  68  8  1
26  68  9  1
26  68  10  1
26  68  11  1
26  68  12  1
26  67  4  1
26  67  5  1
26  67  6  1
26  67  7  1
26  67  8  1
26  67  9  1
26  67  10  1
26  67  11  1
26  67  12  1
26  66  4  1
26  66  5  1
26  66  6  1
27  76  4  1
27  76  5  1
27  76  6  1
27  76  7  1
27  76  8  1
27  76  9  1
27  76  10  1
27  76  11  1
27  76  12  1
27  75  4  1
27  75  5  0
27  75  6  0
27  75  7  0
27  75  8  0
27  75  9  0
27  75  10  0
27  75  11  0
27  75  12  1
27  74  4  1
27  74  5  0
27  74  6  0
27  74  7  0
27  74  8  0
27  74  9  0
27  74  10  0
27  74  11  0
27  74  12  1
27  73  4  1
27  73  5  0
27  73  6  0
27  73  7  0
27  73  8  0
27  73  9  0
27  73  10  0
27  73  11  0
27  73  12  1
27  72  4  1
27  72  5  0
27  72  6  0
27  72  7  0
27  72  8  0
27  72  9  0
27  72  10  0
27  72  11  0
27  72  12  1
27  71  4  1
27  71  5  0
27  71  6  0
27  71  7  0
27  71  8  0
27  71  9  0
27  71  10  0
27  71  11  0
27  71  12  1
27  70  4  1
27  70  5  0
27  70  6  0
27  70  7  0
27  70  8  0
27  70  9  0
27  70  10  0
27  70  11  0
27  70  12  1
27  69  4  1
27  69  5  0
27  69  6  0
27  69  7  0
27  69  8  0
27  69  9  0
27  69  10  0
27  69  11  0
27  69  12  1
27  68  4  1
27  68  5  0
27  68  6  0
27  68  7  0
27  68  8  0
27  68  9  0
27  68  10  0
27  68  11  0
27  68  12  1
27  67  4  1
27  67  5  0
27  67  6  1
27  67  7  1
27  67  8  1
27  67  9  1
27  67  10  1
27  67  11  1
27  67  12  1
27  66  4  1
27  66  5  1
27  66  6  1
27  66  7  1
27  66  8  1
27  66  9  1
27  66  10  1
27  66  11  1
27  66  12  1
27  65  4  1
27  65  5  1
27  65  6  1
27  65  7  1
27  65  8  1
27  65  9  1
27  65  10  1
27  65  11  1
27  65  12  1
27  64  4  1
27  64  5  1
27  64  6  1
27  64  7  1
28  77  4  1
28  77  5  1
28  76  4  1
28  76  5  1
28  76  6  1
28  76  7  1
28  76  8  1
28  76  9  1
28  76  10  1
28  76  11  1
28  76  12  1
28  75  4  1
28  75  5  0
28  75  6  0
28  75  7  0
28  75  8  0
28  75  9  0
28  75  10  0
28  75  11  0
28  75  12  1
28  74  4  1
28  74  5  0
28  74  6  0
28  74  7  0
28  74  8  0
28  74  9  0
28  74  10  0
28  74  11  0
28  74  12  1
28  73  4  1
28  73  5  0
28  73  6  0
28  73  7  0
28  73  8  0
28  73  9  0
28  73  10  0
28  73  11  0
28  73  12  1
28  72  4  1
28  72  5  0
28  72  6  0
28  72  7  0
28  72  8  0
28  72  9  0
28  72  10  0
28  72  11  0
28  72  12  1
28  71  4  1
28  71  5  0
28  71  6  0
28  71  7  0
28  71  8  0
28  71  9  0
28  71  10  0
28  71  11  0
28  71  12  1
28  70  4  1
28  70  5  0
28  70  6  0
28  70  7  0
28  70  8  0
28  70  9  0
28  70  10  0
28  70  11  0
28  70  12  1
28  69  4  1
28  69  5  0
28  69  6  0
28  69  7  0
28  69  8  0
28  69  9  0
28  69  10  0
28  69  11  0
28  69  12  1
28  68  4  1
28  68  5  0
28  68  6  0
28  68  7  0
28  68  8  0
28  68  9  0
28  68  10  0
28  68  11  0
28  68  12  1
28  67  4  1
28  67  5  0
28  67  6  0
28  67  7  0
28  67  8  0
28  67  9  0
28  67  10  0
28  67  11  0
28  67  12  1
28  66  4  1
28  66  5  0
28  66  6  0
28  66  7  0
28  66  8  0
28  66  9  0
28  66  10  0
28  66  11  0
28  66  12  1
28  65  4  1
28  65  5  0
28  65  6  0
28  65  7  1
28  65  8  1
28  65  9  1
28  65  10  1
28  65  11  1
28  65  12  1
28  64  4  1
28  64  5  1
28  64  6  1
28  64  7  1
28  64  8  1
28  64  9  1
28  64  10  1
28  64  11  1
28  64  12  1
28  63  4  1
28  63  5  1
28  63  6  1
28  63  7  1
28  63  8  1
28  63  9  1
28  63  10  1
28  63  11  1
28  63  12  1
28  62  4  1
28  62  5  1
29  77  4  1
29  77  5  1
29  77  6  1
29  77  7  1
29  77  8  1
29  76  4  1
29  76  5  1
29  76  6  1
29  76  7  1
29  76  8  1
29  76  9  1
29  76  10  1
29  76  11  1
29  76  12  1
29  75  4  1
29  75  5  0
29  75  6  0
29  75  7  0
29  75  8  0
29  75  9  0
29  75  10  0
29  75  11  0
29  75  12  1
29  74  4  1
29  74  5  0
29  74  6  0
29  74  7  0
29  74  8  0
29  74  9  0
29  74  10  0
29  74  11  0
29  74  12  1
29  73  4  1
29  73  5  0
29  73  6  0
29  73  7  0
29  73  8  0
29  73  9  0
29  73  10  0
29  73  11  0
29  73  12  1
29  72  4  1
29  72  5  0
29  72  6  0
29  72  7  0
29  72  8  0
29  72  9  0
29  72  10  0
29  72  11  0
29  72  12  1
29  71  4  1
29  71  5  0
29  71  6  0
29  71  7  0
29  71  8  0
29  71  9  0
29  71  10  0
29  71  11  0
29  71  12  1
29  70  4  1
29  70  5  0
29  70  6  0
29  70  7  0
29  70  8  0
29  70  9  0
29  70  10  0
29  70  11  0
29  70  12  1
29  69  4  1
29  69  5  0
29  69  6  0
29  69  7  0
29  69  8  0
29  69  9  0
29  69  10  0
29  69  11  0
29  69  12  1
29  68  4  1
29  68  5  0
29  68  6  0
29  68  7  0
29  68  8  0
29  68  9  0
29  68  10  0
29  68  11  0
29  68  12  1
29  67  4  1
29  67  5  0
29  67  6  0
29  67  7  0
29  67  8  0
29  67  9  0
29  67  10  0
29  67  11  0
29  67  12  1
29  66  4  1
29  66  5  0
29  66  6  0
