100  100  17
22  25  11  1
22  25  12  1
22  26  4  1
22  26  5  1
22  26  6  1
22  26  7  1
22  26  8  1
22  26  9  1
22  26  10  1
22  26  11  1
22  26  12  1
22  27  4  1
22  27  5  1
22  27  6  1
22  27  7  1
22  27  8  1
22  27  9  1
22  27  10  1
22  27  11  1
22  27  12  1
22  28  4  1
22  28  5  1
22  28  6  1
22  28  7  1
22  28  8  1
22  28  9  1
22  28  10  1
22  28  11  1
23  24  10  1
23  24  11  1
23  24  12  1
23  25  4  1
23  25  5  1
23  25  6  1
23  25  7  1
23  25  8  1
23  25  9  1
23  25  10  1
23  25  11  1
23  25  12  1
23  26  4  1
23  26  5  1
23  26  6  1
23  26  7  1
23  26  8  1
23  26  9  1
23  26  10  1
23  26  11  1
23  26  12  1
23  27  4  1
23  27  5  0
23  27  6  0
23  27  7  0
23  27  8  0
23  27  9  0
23  27  10  0
23  27  11  1
23  27  12  1
23  28  4  1
23  28  5  1
23  28  6  1
23  28  7  1
23  28  8  1
23  28  9  1
23  28  10  1
23  28  11  1
23  28  12  1
23  29  4  1
23  29  5  1
23  29  6  1
23  29  7  1
23  29  8  1
23  29  9  1
23  29  10  1
23  29  11  1
23  29  12  1
23  30  4  1
23  30  5  1
23  30  6  1
23  30  7  1
23  30  8  1
23  30  9  1
23  30  10  1
23  30  11  1
23  30  12  1
24  24  4  1
24  24  5  1
24  24  6  1
24  24  8  1
24  24  9  1
24  24  10  1
24  24  11  1
24  24  12  1
24  25  4  1
24  25  5  1
24  25  6  1
24  25  7  1
24  25  8  1
24  25  9  1
24  25  10  1
24  25  11  0
24  25  12  1
24  26  4  1
24  26  5  0
24  26  6  0
24  26  7  0
24  26  8  0
24  26  9  1
24  26  10  1
24  26  11  0
24  26  12  1
24  27  4  1
24  27  5  0
24  27  6  0
24  27  7  0
24  27  8  0
24  27  9  0
24  27  10  0
24  27  11  0
24  27  12  1
24  28  4  1
24  28  5  0
24  28  6  0
24  28  7  0
24  28  8  0
24  28  9  0
24  28  10  0
24  28  11  0
24  28  12  1
24  29  4  1
24  29  5  0
24  29  6  0
24  29  7  0
24  29  8  0
24  29  9  0
24  29  10  0
24  29  11  0
24  29  12  1
24  30  4  1
24  30  5  1
24  30  6  1
24  30  7  1
24  30  8  1
24  30  9  1
24  30  10  1
24  30  11  1
24  30  12  1
24  31  4  1
24  31  5  1
24  31  6  1
24  31  7  1
24  31  8  1
24  31  9  1
24  31  10  1
24  31  11  1
24  31  12  1
25  23  7  1
25  23  8  1
25  23  9  1
25  23  10  1
25  23  11  1
25  23  12  1
25  24  4  1
25  24  5  1
25  24  6  1
25  24  7  1
25  24  8  1
25  24  9  1
25  24  10  1
25  24  11  1
25  24  12  1
25  25  4  1
25  25  5  0
25  25  6  1
