125  125  17
24  74  12  1
24  74  11  1
24  73  12  1
24  73  11  1
24  73  10  1
24  73  9  1
24  73  8  1
24  73  7  1
24  72  12  1
24  72  11  1
24  72  10  1
24  72  9  1
24  72  8  1
24  72  7  1
24  72  6  1
24  72  5  1
24  72  4  1
25  75  12  1
25  75  11  1
25  75  10  1
25  75  9  1
25  75  8  1
25  75  7  1
25  75  6  1
25  74  12  1
25  74  11  1
25  74  10  1
25  74  9  1
25  74  8  1
25  74  7  1
25  74  6  1
25  74  5  1
25  74  4  1
25  73  12  1
25  73  11  1
25  73  10  1
25  73  9  1
25  73  8  1
25  73  7  1
25  73  6  1
25  73  5  1
25  73  4  1
25  72  12  1
25  72  11  1
25  72  10  1
25  72  9  1
25  72  8  1
25  72  7  1
25  72  6  1
25  72  5  1
25  72  4  1
25  71  12  1
25  71  11  1
25  71  10  1
25  71  9  1
25  71  8  1
25  71  7  1
25  71  6  1
25  71  5  1
25  71  4  1
26  77  12  1
26  77  11  1
26  77  10  1
26  77  9  1
26  77  8  1
26  77  7  1
26  77  6  1
26  77  5  1
26  77  4  1
26  76  12  1
26  76  11  1
26  76  10  1
26  76  9  1
26  76  8  1
26  76  7  1
26  76  6  1
26  76  5  1
26  76  4  1
26  75  12  1
26  75  11  1
26  75  10  1
26  75  9  1
26  75  8  1
26  75  7  1
26  75  6  1
26  75  5  1
26  75  4  1
26  74  12  1
26  74  11  1
26  74  10  1
26  74  9  1
26  74  8  1
26  74  7  1
26  74  6  1
26  74  5  1
26  74  4  1
26  73  12  1
26  73  11  1
26  73  10  1
26  73  9  1
26  73  8  1
26  73  7  1
26  73  6  1
26  73  5  0
26  73  4  1
26  72  12  1
26  72  11  0
26  72  10  0
26  72  9  0
26  72  8  0
26  72  7  0
26  72  6  0
26  72  5  0
26  72  4  1
26  71  12  1
26  71  11  1
26  71  10  1
26  71  9  1
26  71  8  1
26  71  7  1
26  71  6  1
26  71  5  1
26  71  4  1
26  70  10  1
26  70  9  1
26  70  8  1
26  70  7  1
26  70  6  1
26  70  5  1
26  70  4  1
27  79  12  1
27  79  11  1
27  79  10  1
27  79  9  1
27  79  8  1
27  79  7  1
27  79  6  1
27  78  12  1
27  78  11  1
27  78  10  1
27  78  9  1
27  78  8  1
27  78  7  1
27  78  6  1
27  78  5  1
27  78  4  1
27  77  12  1
27  77  11  1
27  77  10  1
27  77  9  1
27  77  8  1
27  77  7  1
27  77  6  1
27  77  5  1
27  77  4  1
27  76  12  1
27  76  11  1
27  76  10  1
27  76  9  1
27  76  8  0
27  76  7  0
27  76  6  0
27  76  5  0
27  76  4  1
27  75  12  1
27  75  11  1
27  75  10  1
27  75  9  1
27  75  8  0
27  75  7  0
27  75  6  0
27  75  5  0
27  75  4  1
27  74  12  1
27  74  11  0
27  74  10  0
27  74  9  1
27  74  8  1
27  74  7  1
27  74  6  1
27  74  5  1
27  74  4  1
27  73  12  1
27  73  11  1
27  73  10  1
27  73  9  1
27  73  8  1
27  73  7  1
27  73  6  1
27  73  5  1
27  73  4  1
27  72  12  1
27  72  11  0
27  72  10  0
27  72  9  0
27  72  8  0
27  72  7  0
27  72  6  0
27  72  5  1
27  72  4  1
27  71  12  1
27  71  11  1
27  71  10  1
27  71  9  1
27  71  8  1
27  71  7  1
27  71  6  1
27  71  5  1
27  71  4  1
27  70  11  1
27  70  10  1
27  70  9  1
27  70  8  1
27  70  7  1
27  70  6  1
27  70  5  1
27  70  4  1
28  89  12  1
28  89  11  1
28  88  12  1
28  88  11  1
28  88  10  1
28  87  12  1
28  87  11  1
28  87  10  1
28  87  9  1
28  86  12  1
28  86  11  1
28  86  10  1
28  86  9  1
28  85  12  1
28  85  11  1
28  85  10  1
28  85  9  1
28  85  8  1
28  84  12  1
28  84  11  1
28  84  10  1
28  84  9  1
28  84  8  1
28  83  12  1
28  83  11  1
28  83  10  1
28  83  9  1
28  83  8  1
28  83  7  1
28  83  6  1
28  82  12  1
28  82  11  1
28  82  10  1
28  82  9  1
28  82  8  1
28  82  7  1
28  82  6  1
28  82  5  1
28  82  4  1
28  81  12  1
28  81  11  1
28  81  10  1
28  81  9  1
28  81  8  1
28  81  7  1
28  81  6  1
28  81  5  1
28  81  4  1
28  80  12  1
28  80  11  1
28  80  10  1
28  80  9  1
28  80  8  1
28  80  7  1
28  80  6  1
28  80  5  1
28  80  4  1
28  79  12  1
28  79  11  1
28  79  10  1
28  79  9  1
28  79  8  1
28  79  7  1
28  79  6  1
28  79  5  1
28  79  4  1
28  78  12  1
28  78  11  0
28  78  10  0
28  78  9  0
28  78  8  0
28  78  7  0
28  78  6  1
28  78  5  1
28  78  4  1
28  77  12  1
28  77  11  1
28  77  10  1
28  77  9  1
28  77  8  1
28  77  7  1
28  77  6  1
28  77  5  1
28  77  4  1
28  76  12  1
