100  100  17
22  25  5  1
22  25  4  1
22  26  12  1
22  26  11  1
22  26  10  1
22  26  9  1
22  26  8  1
22  26  7  1
22  26  6  1
22  26  5  1
22  26  4  1
22  27  12  1
22  27  11  1
22  27  10  1
22  27  9  1
22  27  8  1
22  27  7  1
22  27  6  1
22  27  5  1
22  27  4  1
22  28  12  1
22  28  11  1
22  28  10  1
22  28  9  1
22  28  8  1
22  28  7  1
22  28  6  1
22  28  5  1
23  24  6  1
23  24  5  1
23  24  4  1
23  25  12  1
23  25  11  1
23  25  10  1
23  25  9  1
23  25  8  1
23  25  7  1
23  25  6  1
23  25  5  1
23  25  4  1
23  26  12  1
23  26  11  1
23  26  10  1
23  26  9  1
23  26  8  1
23  26  7  1
23  26  6  1
23  26  5  1
23  26  4  1
23  27  12  1
23  27  11  0
23  27  10  0
23  27  9  0
23  27  8  0
23  27  7  0
23  27  6  0
23  27  5  1
23  27  4  1
23  28  12  1
23  28  11  1
23  28  10  1
23  28  9  1
23  28  8  1
23  28  7  1
23  28  6  1
23  28  5  1
23  28  4  1
23  29  12  1
23  29  11  1
23  29  10  1
23  29  9  1
23  29  8  1
23  29  7  1
23  29  6  1
23  29  5  1
23  29  4  1
23  30  12  1
23  30  11  1
23  30  10  1
23  30  9  1
23  30  8  1
23  30  7  1
23  30  6  1
23  30  5  1
23  30  4  1
24  24  12  1
24  24  11  1
24  24  10  1
24  24  8  1
24  24  7  1
24  24  6  1
24  24  5  1
24  24  4  1
24  25  12  1
24  25  11  1
24  25  10  1
24  25  9  1
24  25  8  1
24  25  7  1
24  25  6  1
24  25  5  0
24  25  4  1
24  26  12  1
24  26  11  0
24  26  10  0
24  26  9  0
24  26  8  0
24  26  7  1
24  26  6  1
24  26  5  0
24  26  4  1
24  27  12  1
24  27  11  0
24  27  10  0
24  27  9  0
24  27  8  0
24  27  7  0
24  27  6  0
24  27  5  0
24  27  4  1
24  28  12  1
24  28  11  0
24  28  10  0
24  28  9  0
24  28  8  0
24  28  7  0
24  28  6  0
24  28  5  0
24  28  4  1
24  29  12  1
24  29  11  0
24  29  10  0
24  29  9  0
24  29  8  0
24  29  7  0
24  29  6  0
24  29  5  0
24  29  4  1
24  30  12  1
24  30  11  1
24  30  10  1
24  30  9  1
24  30  8  1
24  30  7  1
24  30  6  1
24  30  5  1
24  30  4  1
24  31  12  1
24  31  11  1
24  31  10  1
24  31  9  1
24  31  8  1
24  31  7  1
24  31  6  1
24  31  5  1
24  31  4  1
25  23  9  1
25  23  8  1
25  23  7  1
25  23  6  1
25  23  5  1
25  23  4  1
25  24  12  1
25  24  11  1
25  24  10  1
25  24  9  1
25  24  8  1
25  24  7  1
25  24  6  1
25  24  5  1
25  24  4  1
25  25  12  1
25  25  11  0
25  25  10  1
25  25  9  1
25  25  8  1
25  25  7  1
25  25  6  0
25  25  5  0
25  25  4  1
25  26  12  1
25  26  11  0
25  26  10  0
25  26  9  0
25  26  8  0
25  26  7  0
25  26  6  0
25  26  5  0
25  26  4  1
25  27  12  1
25  27  11  0
25  27  10  0
25  27  9  0
25  27  8  0
25  27  7  0
25  27  6  0
25  27  5  0
25  27  4  1
25  28  12  1
25  28  11  0
25  28  10  0
25  28  9  0
25  28  8  0
25  28  7  0
25  28  6  0
25  28  5  0
25  28  4  1
25  29  12  1
25  29  11  0
25  29  10  0
25  29  9  0
25  29  8  0
25  29  7  0
25  29  6  0
25  29  5  0
25  29  4  1
25  30  12  1
25  30  11  0
25  30  10  0
25  30  9  0
25  30  8  0
25  30  7  0
25  30  6  0
25  30  5  0
25  30  4  1
25  31  12  1
25  31  11  1
25  31  10  1
25  31  9  1
25  31  8  1
25  31  7  1
25  31  6  1
25  31  5  1
25  31  4  1
26  23  12  1
26  23  11  1
26  23  10  1
26  23  9  1
26  23  8  1
26  23  7  1
26  23  6  1
26  23  5  1
26  23  4  1
26  24  12  1
26  24  11  1
26  24  10  1
26  24  9  1
26  24  8  0
26  24  7  0
26  24  6  0
26  24  5  0
26  24  4  1
26  25  12  1
26  25  11  0
26  25  10  0
26  25  9  0
26  25  8  0
26  25  7  0
26  25  6  0
26  25  5  0
26  25  4  1
26  26  12  1
26  26  11  0
26  26  10  0
26  26  9  0
26  26  8  0
26  26  7  0
26  26  6  0
26  26  5  0
26  26  4  1
26  27  12  1
26  27  11  0
26  27  10  0
26  27  9  0
26  27  8  0
26  27  7  0
26  27  6  0
26  27  5  0
26  27  4  1
26  28  12  1
26  28  11  0
26  28  10  0
26  28  9  0
26  28  8  0
26  28  7  0
26  28  6  0
26  28  5  0
26  28  4  1
26  29  12  1
26  29  11  0
26  29  10  0
26  29  9  0
26  29  8  0
26  29  7  0
26  29  6  0
26  29  5  0
26  29  4  1
26  30  12  1
26  30  11  0
26  30  10  0
26  30  9  0
26  30  8  0
26  30  7  0
26  30  6  0
26  30  5  0
26  30  4  1
26  31  12  1
26  31  11  1
26  31  10  1
26  31  9  1
26  31  8  1
26  31  7  1
26  31  6  1
26  31  5  1
26  31  4  1
26  32  12  1
26  32  11  1
26  32  10  1
26  32  9  1
26  32  8  1
26  32  7  1
26  32  6  1
26  32  5  1
26  32  4  1
26  33  12  1
26  33  11  1
26  33  10  1
27  23  12  1
27  23  11  1
27  23  10  1
27  23  9  1
27  23  8  1
27  23  7  1
27  23  6  1
27  23  5  1
27  23  4  1
27  24  12  1
27  24  11  0
27  24  10  0
27  24  9  0
27  24  8  0
27  24  7  0
27  24  6  0
27  24  5  0
27  24  4  1
27  25  12  1
27  25  11  0
27  25  10  0
27  25  9  0
27  25  8  0
27  25  7  0
27  25  6  0
27  25  5  0
27  25  4  1
27  26  12  1
27  26  11  0
27  26  10  0
27  26  9  0
27  26  8  0
27  26  7  0
27  26  6  0
27  26  5  0
27  26  4  1
27  27  12  1
27  27  11  0
27  27  10  0
27  27  9  0
27  27  8  0
27  27  7  0
27  27  6  0
27  27  5  0
27  27  4  1
27  28  12  1
27  28  11  0
27  28  10  0
27  28  9  0
27  28  8  0
27  28  7  0
27  28  6  0
27  28  5  0
27  28  4  1
27  29  12  1
27  29  11  0
27  29  10  0
27  29  9  0
27  29  8  0
27  29  7  0
27  29  6  0
27  29  5  0
27  29  4  1
27  30  12  1
27  30  11  0
27  30  10  0
27  30  9  0
27  30  8  0
27  30  7  0
27  30  6  0
27  30  5  0
27  30  4  1
27  31  12  1
27  31  11  0
27  31  10  0
27  31  9  0
27  31  8  0
27  31  7  0
27  31  6  0
27  31  5  0
27  31  4  1
27  32  12  1
27  32  11  0
27  32  10  1
27  32  9  1
27  32  8  1
27  32  7  1
27  32  6  1
27  32  5  1
27  32  4  1
27  33  12  1
27  33  11  1
27  33  10  1
27  33  9  1
27  33  8  1
27  33  7  1
27  33  6  1
27  33  5  1
27  33  4  1
27  34  12  1
27  34  11  1
27  34  10  1
27  34  9  1
27  34  8  1
27  34  7  1
27  34  6  1
27  34  5  1
27  34  4  1
27  35  12  1
27  35  11  1
27  35  10  1
27  35  9  1
28  22  12  1
28  22  11  1
28  23  12  1
28  23  11  1
28  23  10  1
28  23  9  1
28  23  8  1
28  23  7  1
28  23  6  1
28  23  5  1
28  23  4  1
28  24  12  1
28  24  11  0
28  24  10  0
28  24  9  0
28  24  8  0
28  24  7  0
28  24  6  0
28  24  5  0
28  24  4  1
28  25  12  1
28  25  11  0
28  25  10  0
28  25  9  0
28  25  8  0
28  25  7  0
28  25  6  0
28  25  5  0
28  25  4  1
28  26  12  1
28  26  11  0
28  26  10  0
28  26  9  0
28  26  8  0
28  26  7  0
28  26  6  0
28  26  5  0
28  26  4  1
28  27  12  1
28  27  11  0
28  27  10  0
28  27  9  0
28  27  8  0
28  27  7  0
28  27  6  0
28  27  5  0
28  27  4  1
28  28  12  1
28  28  11  0
28  28  10  0
28  28  9  0
28  28  8  0
28  28  7  0
28  28  6  0
28  28  5  0
28  28  4  1
28  29  12  1
28  29  11  0
28  29  10  0
28  29  9  0
28  29  8  0
28  29  7  0
28  29  6  0
28  29  5  0
28  29  4  1
28  30  12  1
28  30  11  0
28  30  10  0
28  30  9  0
28  30  8  0
28  30  7  0
28  30  6  0
28  30  5  0
28  30  4  1
28  31  12  1
28  31  11  0
28  31  10  0
28  31  9  0
28  31  8  0
28  31  7  0
28  31  6  0
28  31  5  0
28  31  4  1
28  32  12  1
28  32  11  0
28  32  10  0
28  32  9  0
28  32  8  0
28  32  7  0
28  32  6  0
28  32  5  0
28  32  4  1
28  33  12  1
28  33  11  0
28  33  10  0
28  33  9  0
28  33  8  0
28  33  7  0
28  33  6  0
28  33  5  0
28  33  4  1
28  34  12  1
28  34  11  0
28  34  10  0
28  34  9  1
28  34  8  1
28  34  7  1
28  34  6  1
28  34  5  1
28  34  4  1
28  35  12  1
28  35  11  1
28  35  10  1
28  35  9  1
28  35  8  1
28  35  7  1
28  35  6  1
28  35  5  1
28  35  4  1
28  36  12  1
28  36  11  1
28  36  10  1
28  36  9  1
28  36  8  1
28  36  7  1
28  36  6  1
28  36  5  1
28  36  4  1
28  37  12  1
28  37  11  1
29  22  12  1
29  22  11  1
29  22  10  1
29  22  9  1
29  22  8  1
29  23  12  1
29  23  11  1
29  23  10  1
29  23  9  1
29  23  8  1
29  23  7  1
29  23  6  1
29  23  5  1
29  23  4  1
29  24  12  1
29  24  11  0
29  24  10  0
29  24  9  0
29  24  8  0
29  24  7  0
29  24  6  0
29  24  5  0
29  24  4  1
29  25  12  1
29  25  11  0
29  25  10  0
29  25  9  0
29  25  8  0
29  25  7  0
29  25  6  0
29  25  5  0
29  25  4  1
29  26  12  1
29  26  11  0
29  26  10  0
29  26  9  0
29  26  8  0
29  26  7  0
29  26  6  0
29  26  5  0
29  26  4  1
29  27  12  1
29  27  11  0
29  27  10  0
29  27  9  0
29  27  8  0
29  27  7  0
